,Column Names,,,,
Kb Article Template Id Entity Type,Kb Article Template Id Entity Type,,,,
Kb Article Template Id Title,Kb Article Template Id Title,,,,
Kb Prefix,Kb Prefix,,,,
Key Product,Key Product,,,,
Keywords,Keywords,,,,
Km Settings,Km Settings,,,,
Knowledge Article Category Id,Knowledge Article Category Id,,,,
Knowledge Article Id,Knowledge Article Id,,,,
Knowledge Article Id Entity Type,Knowledge Article Id Entity Type,,,,
Knowledge Article Id Name,Knowledge Article Id Name,,,,
Knowledge Article Views,Knowledge Article Views,,,,
Knowledge Article Views Date,Knowledge Article Views Date,,,,
Knowledge Article Views State,Knowledge Article Views State,,,,
Label,Label,,,,
Lang Id,Lang Id,,,,
Language,Language,,,,
Language Code,Language Code,,,,
Language Locale Id,Language Locale Id,,,,
Language Locale Id Entity Type,Language Locale Id Entity Type,,,,
Language Locale Id Local Eid,Language Locale Id Local Eid,,,,
Language Locale Id Name,Language Locale Id Name,,,,
Last Active On,Last Active On,,,,
Last Alerts Viewed Time,Last Alerts Viewed Time,,,,
Last Autodiscovered On,Last Autodiscovered On,,,,
Last Back Office Submit,Last Back Office Submit,,,,
Last Duration,Last Duration,,,,
Last Expanded Instance Date,Last Expanded Instance Date,,,,
Last Mailbox Forced Unlock Occurred On,Last Mailbox Forced Unlock Occurred On,,,,
Last Message Id,Last Message Id,,,,
Last Modified Time,Last Modified Time,,,,
Last Name,Last Name,,,,
Last On Hold Time,Last On Hold Time,,,,
Last Opened Time,Last Opened Time,,,,
Last Publish Time,Last Publish Time,,,,
Last Rolled Update,Last Rolled Update,,,,
Last Successful Sync Completed On,Last Successful Sync Completed On,,,,
Last Sync Error,Last Sync Error,,,,
Last Sync Error Code,Last Sync Error Code,,,,
Last Sync Error Count,Last Sync Error Count,,,,
Last Sync Error Machine Name,Last Sync Error Machine Name,,,,
Last Sync Error Occurred On,Last Sync Error Occurred On,,,,
Last Sync Started On,Last Sync Started On,,,,
Last Used In Campaign,Last Used In Campaign,,,,
Last Used On,Last Used On,,,,
Latest Update Time,Latest Update Time,,,,
Latitude,Latitude,,,,
Layout Json,Layout Json,,,,
Layout Xml,Layout Xml,,,,
Lead Competitor Id,Lead Competitor Id,,,,
Lead Field,Lead Field,,,,
Lead Id,Lead Id,,,,
Lead Id Entity Type,Lead Id Entity Type,,,,
Lead Id Name,Lead Id Name,,,,
Lead Product Id,Lead Product Id,,,,
Lead Quality Code,Lead Quality Code,,,,
Lead Source Code,Lead Source Code,,,,
Lead Source Global,Lead Source Global,,,,
Lead Source Global Jt,Lead Source Global Jt,,,,
Left Voice Mail,Left Voice Mail,,,,
Line 1,Line 1,,,,
Line 2,Line 2,,,,
Line 3,Line 3,,,,
Line Item Number,Line Item Number,,,,
Link,Link,,,,
Links Clicked Count,Links Clicked Count,,,,
List Id,List Id,,,,
List Id Entity Type,List Id Entity Type,,,,
List Member Id,List Member Id,,,,
List Name,List Name,,,,
Literature Type Code,Literature Type Code,,,,
Local Eid,Local Eid,,,,
Localized Label,Localized Label,,,,
Localized Label Language Code,Localized Label Language Code,,,,
Location,Location,,,,
Lock Status,Lock Status,,,,
Long Date Format Code,Long Date Format Code,,,,
Longitude,Longitude,,,,
Low Quantity,Low Quantity,,,,
Mailbox Id,Mailbox Id,,,,
Mailbox Id Entity Type,Mailbox Id Entity Type,,,,
Mailbox Intermittent Issue Min Range,Mailbox Intermittent Issue Min Range,,,,
Mailbox Permanent Issue Min Range,Mailbox Permanent Issue Min Range,,,,
Mailbox Processing Context,Mailbox Processing Context,,,,
Mailbox Status,Mailbox Status,,,,
Mailbox Tracking Folderid,Mailbox Tracking Folderid,,,,
Major Version Number,Major Version Number,,,,
Manager Id,Manager Id,,,,
Manager Id Entity Type,Manager Id Entity Type,,,,
Manager Id Name,Manager Id Name,,,,
Manager Id Yomi Name,Manager Id Yomi Name,,,,
Manager Name,Manager Name,,,,
Manager Phone,Manager Phone,,,,
Manual Discount Amount,Manual Discount Amount,,,,
Manual Discount Amount Base,Manual Discount Amount Base,,,,
Market Cap,Market Cap,,,,
Market Cap Base,Market Cap Base,,,,
Marketing Only,Marketing Only,,,,
Master Account Id Name,Master Account Id Name,,,,
Master Account Id Yomi Name,Master Account Id Yomi Name,,,,
Master Contact Id Name,Master Contact Id Name,,,,
Master Contact Id Yomi Name,Master Contact Id Yomi Name,,,,
Master Id,Master Id,,,,
Master Id Entity Type,Master Id Entity Type,,,,
Master Id Name,Master Id Name,,,,
Master Lead Id Name,Master Lead Id Name,,,,
Master Lead Id Yomi Name,Master Lead Id Yomi Name,,,,
Max Action Steps In Bpf,Max Action Steps In Bpf,,,,
Max Appointment Duration Days,Max Appointment Duration Days,,,,
Max Conditions For Mobile Offline Filters,Max Conditions For Mobile Offline Filters,,,,
Max Depth For Hierarchical Security Model,Max Depth For Hierarchical Security Model,,,,
Max Folder Based Tracking Mappings,Max Folder Based Tracking Mappings,,,,
Maximum Active Business Process Flows Allowed Per Entity,Maximum Active Business Process Flows Allowed Per Entity,,,,
Maximum Dynamic Proper Ties Allowed,Maximum Dynamic Proper Ties Allowed,,,,
Maximum Entities With Active Sla,Maximum Entities With Active Sla,,,,
Maximum Slakpiper Entity With Active Sla,Maximum Slakpiper Entity With Active Sla,,,,
Maximum Tracking Number,Maximum Tracking Number,,,,
Max Products In Bundle,Max Products In Bundle,,,,
Max Rating,Max Rating,,,,
Max Records For Export To Excel,Max Records For Export To Excel,,,,
Max Records For Lookup Filters,Max Records For Lookup Filters,,,,
Max Supported Internet Explorer Version,Max Supported Internet Explorer Version,,,,
Max Upload File Size,Max Upload File Size,,,,
Max Verbose Logging Mailbox,Max Verbose Logging Mailbox,,,,
Max Verbose Logging Sync Cycles,Max Verbose Logging Sync Cycles,,,,
Member Count,Member Count,,,,
Member Type,Member Type,,,,
Merged,Merged,,,,
Message,Message,,,,
Message Count,Message Count,,,,
Message Id,Message Id,,,,
Message Id Dup Check,Message Id Dup Check,,,,
Messages,Messages,,,,
Message Type Code,Message Type Code,,,,
Metadata Id,Metadata Id,,,,
Metadata Sync Last Timeof Never Expired Deleted Objects,Metadata Sync Last Timeof Never Expired Deleted Objects,,,,
Metadata Sync Timestamp,Metadata Sync Timestamp,,,,
Metric Id,Metric Id,,,,
Metric Id Entity Type,Metric Id Entity Type,,,,
Metric Id Name,Metric Id Name,,,,
Microsoft Flow Environment,Microsoft Flow Environment,,,,
Middle Name,Middle Name,,,,
Mime Type,Mime Type,,,,
Min Address Book Sync Interval,Min Address Book Sync Interval,,,,
Min Client Version,Min Client Version,,,,
Min Offline Sync Interval,Min Offline Sync Interval,,,,
Minor Version Number,Minor Version Number,,,,
Min Outlook Sync Interval,Min Outlook Sync Interval,,,,
Min Rating,Min Rating,,,,
Mobile Alert Email,Mobile Alert Email,,,,
Mobile Offline Min License Prod,Mobile Offline Min License Prod,,,,
Mobile Offline Min License Trial,Mobile Offline Min License Trial,,,,
Mobile Offline Profile Id,Mobile Offline Profile Id,,,,
Mobile Offline Profile Id Entity Type,Mobile Offline Profile Id Entity Type,,,,
Mobile Offline Profile Id Name,Mobile Offline Profile Id Name,,,,
Mobile Offline Profile Id Unique,Mobile Offline Profile Id Unique,,,,
Mobile Offline Profile Item Association Id,Mobile Offline Profile Item Association Id,,,,
Mobile Offline Profile Item Association Id Unique,Mobile Offline Profile Item Association Id Unique,,,,
Mobile Offline Profile Item Id,Mobile Offline Profile Item Id,,,,
Mobile Offline Profile Item Id Entity Type,Mobile Offline Profile Item Id Entity Type,,,,
Mobile Offline Profile Item Id Name,Mobile Offline Profile Item Id Name,,,,
Mobile Offline Profile Item Id Unique,Mobile Offline Profile Item Id Unique,,,,
Mobile Offline Sync Interval,Mobile Offline Sync Interval,,,,
Mobile Phone,Mobile Phone,,,,
Mode,Mode,,,,
Modified By,Modified By,,,,
Modified By Entity Type,Modified By Entity Type,,,,
Modified By Dsc,Modified By Dsc,,,,
Modified By External Party,Modified By External Party,,,,
Modified By External Party Entity Type,Modified By External Party Entity Type,,,,
Modified By External Party Name,Modified By External Party Name,,,,
Modified By External Party Yomi Name,Modified By External Party Yomi Name,,,,
Modified By Name,Modified By Name,,,,
Modified By Yomi Name,Modified By Yomi Name,,,,
Modified Fields Mask,Modified Fields Mask,,,,
Modified On,Modified On,,,,
Modified On Behalf By,Modified On Behalf By,,,,
Modified On Behalf By Entity Type,Modified On Behalf By Entity Type,,,,
Modified On Behalf By Dsc,Modified On Behalf By Dsc,,,,
Modified On Behalf By Name,Modified On Behalf By Name,,,,
Modified On Behalf By Yomi Name,Modified On Behalf By Yomi Name,,,,
Month Of Year,Month Of Year,,,,
Msdyn Account Customer,Msdyn Account Customer,,,,
Msdyn Account Customer Entity Type,Msdyn Account Customer Entity Type,,,,
Msdyn Account Customer Name,Msdyn Account Customer Name,,,,
Msdyn Account Customer Yomi Name,Msdyn Account Customer Yomi Name,,,,
Msdyn Account Ingdate,Msdyn Account Ingdate,,,,
Msdyn Account Vendor,Msdyn Account Vendor,,,,
Msdyn Account Vendor Entity Type,Msdyn Account Vendor Entity Type,,,,
Msdyn Account Vendor Name,Msdyn Account Vendor Name,,,,
Msdyn Account Vendor Yomi Name,Msdyn Account Vendor Yomi Name,,,,
Msdyn Actual Id,Msdyn Actual Id,,,,
Msdyn Adjustment Status,Msdyn Adjustment Status,,,,
Msdyn Amount,Msdyn Amount,,,,
Msdyn Amount Base,Msdyn Amount Base,,,,
Msdyn Amount Method,Msdyn Amount Method,,,,
Msdyn Basis Amount,Msdyn Basis Amount,,,,
Msdyn Basis Amount Base,Msdyn Basis Amount Base,,,,
Msdyn Basis Price,Msdyn Basis Price,,,,
Msdyn Basis Price Base,Msdyn Basis Price Base,,,,
Msdyn Basis Quantity,Msdyn Basis Quantity,,,,
Msdyn Billing Status,Msdyn Billing Status,,,,
Msdyn Billing Type,Msdyn Billing Type,,,,
Msdyn Bookable Resource,Msdyn Bookable Resource,,,,
Msdyn Bookable Resource Entity Type,Msdyn Bookable Resource Entity Type,,,,
Msdyn Bookable Resource Name,Msdyn Bookable Resource Name,,,,
Msdyn Contact Customer,Msdyn Contact Customer,,,,
Msdyn Contact Customer Entity Type,Msdyn Contact Customer Entity Type,,,,
Msdyn Contact Customer Name,Msdyn Contact Customer Name,,,,
Msdyn Contact Customer Yomi Name,Msdyn Contact Customer Yomi Name,,,,
Msdyn Contact Vendor,Msdyn Contact Vendor,,,,
Msdyn Contact Vendor Entity Type,Msdyn Contact Vendor Entity Type,,,,
Msdyn Contact Vendor Name,Msdyn Contact Vendor Name,,,,
Msdyn Contact Vendor Yomi Name,Msdyn Contact Vendor Yomi Name,,,,
Msdyn Customer Type,Msdyn Customer Type,,,,
Msdyn Description,Msdyn Description,,,,
Msdyn Document Date,Msdyn Document Date,,,,
Msdyn End Date Time,Msdyn End Date Time,,,,
Msdyn Exchange Rate Date,Msdyn Exchange Rate Date,,,,
Msdyn External Description,Msdyn External Description,,,,
Msdyn External Reference Date,Msdyn External Reference Date,,,,
Msdyn External Reference Id,Msdyn External Reference Id,,,,
Msdyn Gdpr Optout,Msdyn Gdpr Optout,,,,
Msdyn Invoice,Msdyn Invoice,,,,
Msdyn Invoice Entity Type,Msdyn Invoice Entity Type,,,,
Msdyn Invoice Name,Msdyn Invoice Name,,,,
Msdyn Is Journalized,Msdyn Is Journalized,,,,
Msdyn Org Change Status,Msdyn Org Change Status,,,,
Msdyn Percent,Msdyn Percent,,,,
Msdyn Price,Msdyn Price,,,,
Msdyn Price Base,Msdyn Price Base,,,,
Msdyn Price List,Msdyn Price List,,,,
Msdyn Price List Entity Type,Msdyn Price List Entity Type,,,,
Msdyn Price List Name,Msdyn Price List Name,,,,
Msdyn Product,Msdyn Product,,,,
Msdyn Product Entity Type,Msdyn Product Entity Type,,,,
Msdyn Product Name,Msdyn Product Name,,,,
Msdyn Quantity,Msdyn Quantity,,,,
Msdyn Sales Contract,Msdyn Sales Contract,,,,
Msdyn Sales Contract Entity Type,Msdyn Sales Contract Entity Type,,,,
Msdyn Sales Contract Line,Msdyn Sales Contract Line,,,,
Msdyn Sales Contract Name,Msdyn Sales Contract Name,,,,
Msdyn Start Datetime,Msdyn Start Datetime,,,,
Msdyn Trans Action Classification,Msdyn Trans Action Classification,,,,
Msdyn Trans Action Type Code,Msdyn Trans Action Type Code,,,,
Msdyn Unit,Msdyn Unit,,,,
Msdyn Unit Entity Type,Msdyn Unit Entity Type,,,,
Msdyn Unit Name,Msdyn Unit Name,,,,
Msdyn Unit Schedule,Msdyn Unit Schedule,,,,
Msdyn Unit Schedule Entity Type,Msdyn Unit Schedule Entity Type,,,,
Msdyn Unit Schedule Name,Msdyn Unit Schedule Name,,,,
Msdyn Vendor Type,Msdyn Vendor Type,,,,
Name,Name,,,,
Navigation Type,Navigation Type,,,,
Need,Need,,,,
Negative Currency Format Code,Negative Currency Format Code,,,,
Negative Format Code,Negative Format Code,,,,
Net Price,Net Price,,,,
Net Price Base,Net Price Base,,,,
New Amount Remaining,New Amount Remaining,,,,
New Amount Remaining Base,New Amount Remaining Base,,,,
New Authorized Amount,New Authorized Amount,,,,
New Authorized Amount Base,New Authorized Amount Base,,,,
New Credit Application Needed,New Credit Application Needed,,,,
New Date Established,New Date Established,,,,
New Dba Name,New Dba Name,,,,
New Df Contact Field Sfull,New Df Contact Field Sfull,,,,
New Df Date Last Synced,New Df Date Last Synced,,,,
New Df Lead Score,New Df Lead Score,,,,
New Df Validation Letter,New Df Validation Letter,,,,
New Df Validation Type,New Df Validation Type,,,,
New Need By Date,New Need By Date,,,,
New Refresh,New Refresh,,,,
New Versium Import,New Versium Import,,,,
Next Custom Object Type Code,Next Custom Object Type Code,,,,
Next Expansion In Stance Date,Next Expansion In Stance Date,,,,
Next Tracking Number,Next Tracking Number,,,,
Nick Name,Nick Name,,,,
No Act Count,No ACT Count,,,,
Nodus Amount Batched,Nodus Amount Batched,,,,
Nodus Amount Batched Base,Nodus Amount Batched Base,,,,
Nodus Amount To Charge,Nodus Amount To Charge,,,,
Nodus Amount To Charge Base,Nodus Amount To Charge Base,,,,
Nodus Cash Payment,Nodus Cash Payment,,,,
Nodus Cash Payment Base,Nodus Cash Payment Base,,,,
Nodus Charge Status,Nodus Charge Status,,,,
Nodus Credit Amount,Nodus Credit Amount,,,,
Nodus Credit Amount Base,Nodus Credit Amount Base,,,,
Nodus Credit Card Id,Nodus Credit Card Id,,,,
Nodus Credit Card Id Entity Type,Nodus Credit Card Id Entity Type,,,,
Nodus Credit Card Id Name,Nodus Credit Card Id Name,,,,
Nodus Gateway Id,Nodus Gateway Id,,,,
Nodus Gateway Id Entity Type,Nodus Gateway Id Entity Type,,,,
Nodus Gateway Id Name,Nodus Gateway Id Name,,,,
Nodus Payment Field Id,Nodus Payment Field Id,,,,
Nodus Payment Field Id Entity Type,Nodus Payment Field Id Entity Type,,,,
Nodus Payment Field Id Name,Nodus Payment Field Id Name,,,,
Nodus Total Amount Charged,Nodus Total Amount Charged,,,,
Nodus Total Amount Charged Base,Nodus Total Amount Charged Base,,,,
No Email Count,No Email Count,,,,
Normalized Rating,Normalized Rating,,,,
Note Text,Note Text,,,,
Notifications,Notifications,,,,
Notify Mailbox Owner Of Email Server Level Alerts,Notify Mailbox Owner Of Email Server Level Alerts,,,,
Number,Number,,,,
Number Format,Number Format,,,,
Number Group Format,Number Group Format,,,,
Number Of Child Incidents,Number Of Child Incidents,,,,
Number Of Children,Number Of Children,,,,
Number Of Employees,Number Of Employees,,,,
Number Of Items,Number Of Items,,,,
Number Of Members,Number Of Members,,,,
Number Of Pages,Number Of Pages,,,,
Number Separator,Number Separator,,,,
Object Id,Object Id,,,,
Object Id Entity Type,Object Id Entity Type,,,,
Object Id Name,Object Id Name,,,,
Object Id Type Code,Object Id Type Code,,,,
Objective,Objective,,,,
Objective Expression,Objective Expression,,,,
Object Type Code,Object Type Code,,,,
Occurrences,Occurrences,,,,
Office Apps Autodeployment Enabled,Office Apps Autodeployment Enabled,,,,
Office Apps Deployment Complete On,Office Apps Deployment Complete On,,,,
Office Apps Deployment Error,Office Apps Deployment Error,,,,
Office Apps Deployment Scheduled,Office Apps Deployment Scheduled,,,,
Office Apps Deployment Status,Office Apps Deployment Status,,,,
Office Graph Delve Url,Office Graph Delve Url,,,,
Offline Sql Query,Offline Sql Query,,,,
Offline Sync Interval,Offline Sync Interval,,,,
On Demand,On Demand,,,,
Onhold Time,Onhold Time,,,,
Oob Price Calculation Enabled,Oob Price Calculation Enabled,,,,
Open Count,Open Count,,,,
Open Deals,Open Deals,,,,
Open Deals Date,Open Deals Date,,,,
Open Deals State,Open Deals State,,,,
Open Revenue,Open Revenue,,,,
Open Revenue Base,Open Revenue Base,,,,
Open Revenue Date,Open Revenue Date,,,,
Open Revenue State,Open Revenue State,,,,
Opens Count,Opens Count,,,,
Operating System,Operating System,,,,
Opportunities,Opportunities,,,,
Opportunity Competitor Id,Opportunity Competitor Id,,,,
Opportunity Id,Opportunity Id,,,,
Opportunity Id Entity Type,Opportunity Id Entity Type,,,,
Opportunity Id Name,Opportunity Id Name,,,,
Opportunity Product Id,Opportunity Product Id,,,,
Opportunity Product Name,Opportunity Product Name,,,,
Opportunity Rating Code,Opportunity Rating Code,,,,
Opportunity State Code,Opportunity State Code,,,,
Option,Option,,,,
Optional Attendees,Optional Attendees,,,,
Options,Options,,,,
Option Set Name,Option Set Name,,,,
Order Number,Order Number,,,,
Order Prefix,Order Prefix,,,,
Organization Id,Organization Id,,,,
Organization Id Entity Type,Organization Id Entity Type,,,,
Organization Id Name,Organization Id Name,,,,
Organization State,Organization State,,,,
Organization Tab Order,Organization Tab Order,,,,
Organizer,Organizer,,,,
Orgdborg Settings,Orgdborg Settings,,,,
Org Insights Enabled,Org Insights Enabled,,,,
Org Marked As Primary For Exchange Sync,Org Marked As Primary For Exchange Sync,,,,
Original Start Date,Original Start Date,,,,
Originating Activity Id,Originating Activity Id,,,,
Originating Activity Id Entity Type,Originating Activity Id Entity Type,,,,
Originating Activity Id Type Code,Originating Activity Id Type Code,,,,
Originating Activity Name,Originating Activity Name,,,,
Originating Case Id,Originating Case Id,,,,
Originating Case Id Entity Type,Originating Case Id Entity Type,,,,
Originating Case Id Name,Originating Case Id Name,,,,
Originating Contract,Originating Contract,,,,
Originating Contract Entity Type,Originating Contract Entity Type,,,,
Originating Contract Name,Originating Contract Name,,,,
Originating Lead Id,Originating Lead Id,,,,
Originating Lead Id Entity Type,Originating Lead Id Entity Type,,,,
Originating Lead Id Name,Originating Lead Id Name,,,,
Originating Lead Id Yomi Name,Originating Lead Id Yomi Name,,,,
Os,Os,,,,
Other Cost,Other Cost,,,,
Other Cost Base,Other Cost Base,,,,
Outgoing Email Delivery Method,Outgoing Email Delivery Method,,,,
Outgoing Email Status,Outgoing Email Status,,,,
Outlook Owner Apptid,Outlook Owner Apptid,,,,
Outlook Sync Interval,Outlook Sync Interval,,,,
Overridden Created On,Overridden Created On,,,,
Overview,Overview,,,,
Overwrite Time,Overwrite Time,,,,
Owner Id,Owner Id,,,,
Owner Id Entity Type,Owner Id Entity Type,,,,
Owner Id Name,Owner Id Name,,,,
Owner Id Type,Owner Id Type,,,,
Owner Id Yomi Name,Owner Id Yomi Name,,,,
Owner Ship Code,Owner Ship Code,,,,
Owning Business Unit,Owning Business Unit,,,,
Owning Business Unit Entity Type,Owning Business Unit Entity Type,,,,
Owning Business Unit Name,Owning Business Unit Name,,,,
Owning Team,Owning Team,,,,
Owning Team Entity Type,Owning Team Entity Type,,,,
Owning User,Owning User,,,,
Owning User Entity Type,Owning User Entity Type,,,,
Pager,Pager,,,,
Page View Id,Page View Id,,,,
Paging Limit,Paging Limit,,,,
Parent Account Id,Parent Account Id,,,,
Parent Account Id Entity Type,Parent Account Id Entity Type,,,,
Parent Account Id Name,Parent Account Id Name,,,,
Parent Account Id Yomi Name,Parent Account Id Yomi Name,,,,
Parent Activity Id,Parent Activity Id,,,,
Parent Activity Id Entity Type,Parent Activity Id Entity Type,,,,
Parent Activity Id Name,Parent Activity Id Name,,,,
Parent Article Content Id,Parent Article Content Id,,,,
Parent Article Content Id Entity Type,Parent Article Content Id Entity Type,,,,
Parent Article Content Id Name,Parent Article Content Id Name,,,,
Parent Attribute Map Id,Parent Attribute Map Id,,,,
Parent Attribute Map Id Entity Type,Parent Attribute Map Id Entity Type,,,,
Parent Bundle Id,Parent Bundle Id,,,,
Parent Bundle Id Ref,Parent Bundle Id Ref,,,,
Parent Bundle Id Ref Entity Type,Parent Bundle Id Ref Entity Type,,,,
Parent Business Unit Id,Parent Business Unit Id,,,,
Parent Business Unit Id Entity Type,Parent Business Unit Id Entity Type,,,,
Parent Business Unit Id Name,Parent Business Unit Id Name,,,,
Parent Case Id,Parent Case Id,,,,
Parent Case Id Entity Type,Parent Case Id Entity Type,,,,
Parent Case Id Name,Parent Case Id Name,,,,
Parent Category Id,Parent Category Id,,,,
Parent Category Id Entity Type,Parent Category Id Entity Type,,,,
Parent Category Id Name,Parent Category Id Name,,,,
Parent Contact Id,Parent Contact Id,,,,
Parent Contact Id Entity Type,Parent Contact Id Entity Type,,,,
Parent Contact Id Name,Parent Contact Id Name,,,,
Parent Contact Id Yomi Name,Parent Contact Id Yomi Name,,,,
Parent Customer Id,Parent Customer Id,,,,
Parent Customer Id Entity Type,Parent Customer Id Entity Type,,,,
Parent Customer Id Name,Parent Customer Id Name,,,,
Parent Customer Id Type,Parent Customer Id Type,,,,
Parent Customer Id Yomi Name,Parent Customer Id Yomi Name,,,,
Parent Goal Id,Parent Goal Id,,,,
Parent Goal Id Entity Type,Parent Goal Id Entity Type,,,,
Parent Goal Id Name,Parent Goal Id Name,,,,
Parent Id,Parent Id,,,,
Parent Id Entity Type,Parent Id Entity Type,,,,
Parent Id Name,Parent Id Name,,,,
Parent Id Type Code,Parent Id Type Code,,,,
Parent Id Yomi Name,Parent Id Yomi Name,,,,
Parent Product Id,Parent Product Id,,,,
Parent Product Id Entity Type,Parent Product Id Entity Type,,,,
Parent Product Id Name,Parent Product Id Name,,,,
Parent Regarding Object Id,Parent Regarding Object Id,,,,
Parent Regarding Object Id Entity Type,Parent Regarding Object Id Entity Type,,,,
Parent Regarding Object Type Code,Parent Regarding Object Type Code,,,,
Parent Role Id,Parent Role Id,,,,
Parent Role Id Entity Type,Parent Role Id Entity Type,,,,
Parent Role Id Name,Parent Role Id Name,,,,
Parent Root Role Id,Parent Root Role Id,,,,
Parent Roo Trole Id Entity Type,Parent Roo Trole Id Entity Type,,,,
Parent Root Role Id Name,Parent Root Role Id Name,,,,
Parent Subject,Parent Subject,,,,
Parent Subject Entity Type,Parent Subject Entity Type,,,,
Parent Subject Name,Parent Subject Name,,,,
Parent System User Id,Parent System User Id,,,,
Parent System User Id Entity Type,Parent System User Id Entity Type,,,,
Parent System User Id Name,Parent System User Id Name,,,,
Parent System User Id Yomi Name,Parent System User Id Yomi Name,,,,
Parent Workflow Id,Parent Workflow Id,,,,
Parent Workflow Id Entity Type,Parent Workflow Id Entity Type,,,,
Parent Workflow Id Name,Parent Workflow Id Name,,,,
Parsed Table Column Prefix,Parsed Table Column Prefix,,,,
Parsed Table Prefix,Parsed Table Prefix,,,,
Participates In Workflow,Participates In Workflow,,,,
Participation Typemask,Participation Typemask,,,,
Partner,Partner,,,,
Partners,Partners,,,,
Party Id,Party Id,,,,
Party Id Entity Type,Party Id Entity Type,,,,
Party Id Name,Party Id Name,,,,
Party Object Type Code,Party Object Type Code,,,,
Passport Hi,Passport Hi,,,,
Passport Lo,Passport Lo,,,,
Password,Password,,,,
Past Expansion Window,Past Expansion Window,,,,
Pattern End Date,Pattern End Date,,,,
Pattern Endtype,Pattern Endtype,,,,
Pattern Start Date,Pattern Start Date,,,,
Payment Method Code,Payment Method Code,,,,
Payment Method Jt,Payment Method Jt,,,,
Payment Terms,Payment Terms,,,,
Payment Terms Code,Payment Terms Code,,,,
Percentage,Percentage,,,,
Percent Complete,Percent Complete,,,,
Perform Split Test,Perform Split Test,,,,
Personal Email Address,Personal Email Address,,,,
Personalization Settings,Personalization Settings,,,,
Phone Number,Phone Number,,,,
Photo Url,Photo Url,,,,
Picture,Picture,,,,
Pinpoint Language Code,Pinpoint Language Code,,,,
Platform,Platform,,,,
Plugin Trace Log Setting,Plugin Trace Log Setting,,,,
Plugin Type Id,Plugin Type Id,,,,
Plugin Type Id Entity Type,Plugin Type Id Entity Type,,,,
Pm Designator,Pm Designator,,,,
Position Id,Position Id,,,,
Position Id Entity Type,Position Id Entity Type,,,,
Position Id Name,Position Id Name,,,,
Postal Code,Postal Code,,,,
Post Author,Post Author,,,,
Post Author Entity Type,Post Author Entity Type,,,,
Post Author Account,Post Author Account,,,,
Post Author Account Entity Type,Post Author Account Entity Type,,,,
Post Author Account Name,Post Author Account Name,,,,
Post Author Account Type,Post Author Account Type,,,,
Post Author Account Yomi Name,Post Author Account Yomi Name,,,,
Post Author Name,Post Author Name,,,,
Post Author Type,Post Author Type,,,,
Post Author Yomi Name,Post Author Yomi Name,,,,
Posted By Name,Posted By Name,,,,
Posted Field Id,Posted Field Id,,,,
Posted Form Id,Posted Form Id,,,,
Postedon,Postedon,,,,
Posted Subscription Id,Posted Subscription Id,,,,
Posted Survey Id,Posted Survey Id,,,,
Post Follow Id,Post Follow Id,,,,
Post From Profile Id,Post From Profile Id,,,,
Post From Profile Id Entity Type,Post From Profile Id Entity Type,,,,
Post Id,Post Id,,,,
Post Message Type,Post Message Type,,,,
Post Message White List Domains,Post Message White List Domains,,,,
Post Office Box,Post Office Box,,,,
Postpone Activity Processing Until,Postpone Activity Processing Until,,,,
Postpone Email Processing Until,Postpone Email Processing Until,,,,
Postpone Mailbox Processing Until,Postpone Mailbox Processing Until,,,,
Postpone Office Apps Deployment Until,Postpone Office Apps Deployment Until,,,,
Postpone Sending Until,Postpone Sending Until,,,,
Postpone Test Email Configuration Until,Postpone Test Email Configuration Until,,,,
Post To Profile Id,Post To Profile Id,,,,
Post To Yammer,Post To Yammer,,,,
Post Url,Post Url,,,,
Power Bi Feature Enabled,Power Bi Feature Enabled,,,,
Precision,Precision,,,,
Preference,Preference,,,,
Prefer Redaddress Code,Prefer Redaddress Code,,,,
Preferred Appointment Day Code,Preferred Appointment Day Code,,,,
Preferred Appointment Time Code,Preferred Appointment Time Code,,,,
Prefer Red Contact Method,Prefer Red Contact Method,,,,
Prefer Red Contact Method Code,Prefer Red Contact Method Code,,,,
Prefer Red Email Code,Prefer Red Email Code,,,,
Prefer Red Equipment Id,Prefer Red Equipment Id,,,,
Prefer Red Equipment Id Entity Type,Prefer Red Equipment Id Entity Type,,,,
Prefer Red Equipment Id Name,Prefer Red Equipment Id Name,,,,
Prefer Red Phone Code,Prefer Red Phone Code,,,,
Prefer Red Service Id,Prefer Red Service Id,,,,
Prefer Red Service Id Entity Type,Prefer Red Service Id Entity Type,,,,
Prefer Red Service Id Name,Prefer Red Service Id Name,,,,
Prefer Red System User Id,Prefer Red System User Id,,,,
Prefer Red System User Id Entity Type,Prefer Red System User Id Entity Type,,,,
Prefer Red System User Id Name,Prefer Red System User Id Name,,,,
Prefer Red System User Id Yomi Name,Prefer Red System User Id Yomi Name,,,,
Prefix,Prefix,,,,
Preheader,Preheader,,,,
Present Final Proposal,Present Final Proposal,,,,
Present Proposal,Present Proposal,,,,
Previous Article Content Id,Previous Article Content Id,,,,
Previous Article Content Id Entity Type,Previous Article Content Id Entity Type,,,,
Previous Article Content Id Name,Previous Article Content Id Name,,,,
Price,Price,,,,
Price Base,Price Base,,,,
Price Level Id,Price Level Id,,,,
Price Level Id Entity Type,Price Level Id Entity Type,,,,
Price Level Id Name,Price Level Id Name,,,,
Price List Id,Price List Id,,,,
